Name of Survey,Title,"Which doses? (1, All, EOD, Biweekly, ReasonsForEnding)",Before_after,Text,Input type,Input type 2,Minimum,Maximum,Media,Items,ImageFramed,Timeout,ShowButtons,Answer,Notes or questions,Variable name,Conditions ,Input Name (if you want to save it),CanBeFavorited
¡Escribe el tuyo!,¡Escribe el tuyo!,,,"En este ejercicio, ayuda al equipo de MindTrails Espanol a idear nuevas historias de capacitación que podamos incluir en nuestro programa futuro para ayudar a otros participantes.",,,,,,,,,,,,,,,
¡Escribe el tuyo!,¡Escribe el tuyo!,,,"Piensa en una situación que te genera ansiedad y que te haya ocurrido en el pasado, o que te preocupa que suceda en el futuro. Escribe tu propia historia de entrenamiento basada en esta situación, asegurándote de incluir un final positivo o no amenazante en la oración final de la historia.",,,,,,,,,,,,,,,
¡Escribe el tuyo!,¡Escribe el tuyo!,,,"Ten en cuenta que cada historia tiene aproximadamente 3 oraciones. La primera parte debería plantear una situación desafiante que podría generar cierta ansiedad en la que no está claro cuál será el resultado de la situación. La parte final debería resolver la incertidumbre de forma positiva o no amenazante. En otras palabras, la última frase debería dejar claro que la situación no resulta al final inmanejable.",,,,,,,,,,,,,,,
¡Escribe el tuyo!,¡Escribe el tuyo!,,,"¿No estás seguro de qué escribir? A continuación tienes un ejemplo:\n\nParte 1:\nLe envío un mensaje de correo electrónico a un amigo pidiéndole que tome un café, pero nunca responde. Me pregunto si está enojado conmigo.\n\nParte 2:\nRecordando la última vez que me reuní con este amigo, recuerdo que no revisa el correo electrónico con frecuencia y me siento... aliviado.\n\nObserva que el La afirmación ""Me pregunto si está enojado conmigo"" crea incertidumbre, pero la oración final resuelve esto de una manera no amenazante.\n\n¡Ahora es tu turno de probarlo! ",,,,,,,,,,,,,,,
¡Escribe el tuyo!,¡Escribe el tuyo!,,,Parte 1: Plantea la situación incierta en 1 o 2 frases,Entry,,,,,,,,,,,,,Parte1_WYO,
¡Escribe el tuyo!,¡Escribe el tuyo!,,,Parte 2: Resuelve la incertidumbre de forma no amenazante con la frase final,Entry,,,,,,,,,,,,,Parte2_WYO,
¡Escribe el tuyo!,¡Escribe el tuyo!,,,"Ahora, en la página siguiente, enumera tantas razones como puedas imaginar por las que es probable que se te ocurra el final del escenario. Por ejemplo, ¿por qué crees que podrás manejar la situación o qué evidencia hay que sugiera que la situación saldrá bien?",,,,,,,,,,,,,,,
¡Escribe el tuyo!,¡Escribe el tuyo!,,,"Para ayudarle a empezar, volvamos al ejemplo de enviar un correo electrónico a un amigo para pedir un café y preguntarte por qué no respondió. A continuación se detallan algunas razones por las que podrías sentirte aliviado en esta situación:\n\nEste amigo me ha dicho que le gusta salir conmigo, por lo que probablemente no me ignoraría a propósito.\n\n Hablé con esta persona recientemente, por lo que es poco probable que esté enojado conmigo.\n\nMuchas veces la gente me envía correos electrónicos que olvido responder, y eso no significa que estoy enojado con ellos.\n \nMi amigo podría estar ocupado y aún no ha leído mi mensaje.\n\nSi mi amigo estuviera enojado conmigo, probablemente diría algo en lugar de simplemente ignorarme. En el pasado siempre me decía si estaba molesto.",,,,,,,,,,,,,,,
¡Escribe el tuyo!,¡Escribe el tuyo!,,,"¡Ahora es tu turno! Pensando en la historia corta que acabas de crear, ¿cuáles son algunas de las razones por las que podría haber ocurrido este final positivo o no amenazante? Realmente intenta encontrar algunas explicaciones diferentes.\n\nRazón 1:",Entry,,,,,,,,,,,,,Razón1_WYO,
¡Escribe el tuyo!,¡Escribe el tuyo!,,,Razón 2:,Entry,,,,,,,,,,,,,Razón2_WYO,
¡Escribe el tuyo!,¡Escribe el tuyo!,,,Razón 3:,Entry,,,,,,,,,,,,,Razón3_WYO,
¡Escribe el tuyo!,¡Escribe el tuyo!,,,Razón 4:,Entry,,,,,,,,,,,,,Razón4_WYO,
¡Escribe el tuyo!,¡Escribe el tuyo!,,,Razón 5:,Entry,,,,,,,,,,,,,Razón5_WYO,